celldm_1, !    total energy
                 9.8,             -15.7173
                  10,             -15.7324
                10.2,             -15.7401
                10.4,             -15.7415
                10.6,             -15.7376
                10.8,             -15.7294
                  11,             -15.7177
                11.2,             -15.7034

